Datetime,Temp,Depth
2020-07-17 16:00:00,27.961,0.6
2020-07-17 16:00:00,27.862,1
2020-07-17 16:00:00,27.616,3
2020-07-17 16:00:00,27.124,5
2020-07-17 16:00:00,27.075,7.5
2020-07-17 17:00:00,28.126,0.1
2020-07-17 17:00:00,27.994,0.2
2020-07-17 17:00:00,28.0435,0.4
2020-07-17 17:00:00,27.9775,0.6
2020-07-17 17:00:00,27.9445,1
2020-07-17 17:00:00,27.64883333,3
2020-07-17 17:00:00,27.1895,5
2020-07-17 17:00:00,27.075,7.5
2020-07-17 18:00:00,28.093,0.1
2020-07-17 18:00:00,27.9445,0.2
2020-07-17 18:00:00,28.0105,0.4
2020-07-17 18:00:00,27.994,0.6
2020-07-17 18:00:00,27.961,1
2020-07-17 18:00:00,27.68166667,3
2020-07-17 18:00:00,27.239,5
2020-07-17 18:00:00,27.075,7.5
2020-07-17 19:00:00,27.928,0.1
2020-07-17 19:00:00,27.76366667,0.2
2020-07-17 19:00:00,27.9115,0.4
2020-07-17 19:00:00,27.9115,0.6
2020-07-17 19:00:00,27.895,1
2020-07-17 19:00:00,27.7475,3
2020-07-17 19:00:00,27.272,5
2020-07-17 19:00:00,27.075,7.5
2020-07-17 20:00:00,27.79666667,0.1
2020-07-17 20:00:00,27.665,0.2
2020-07-17 20:00:00,27.84566667,0.4
2020-07-17 20:00:00,27.84566667,0.6
2020-07-17 20:00:00,27.79666667,1
2020-07-17 20:00:00,27.764,3
2020-07-17 20:00:00,27.28833333,5
2020-07-17 20:00:00,27.10766667,7.5
2020-07-17 21:00:00,27.764,0.1
2020-07-17 21:00:00,27.64866667,0.2
2020-07-17 21:00:00,27.82933333,0.4
2020-07-17 21:00:00,27.82933333,0.6
2020-07-17 21:00:00,27.78033333,1
2020-07-17 21:00:00,27.764,3
2020-07-17 21:00:00,27.321,5
2020-07-17 21:00:00,27.075,7.5
2020-07-17 22:00:00,27.665,0.1
2020-07-17 22:00:00,27.5505,0.2
2020-07-17 22:00:00,27.7145,0.4
2020-07-17 22:00:00,27.731,0.6
2020-07-17 22:00:00,27.7145,1
2020-07-17 22:00:00,27.7145,3
2020-07-17 22:00:00,27.40283333,5
2020-07-17 22:00:00,27.075,7.5
2020-07-17 23:00:00,27.64866667,0.1
2020-07-17 23:00:00,27.5175,0.2
2020-07-17 23:00:00,27.7145,0.4
2020-07-17 23:00:00,27.698,0.6
2020-07-17 23:00:00,27.665,1
2020-07-17 23:00:00,27.665,3
2020-07-17 23:00:00,27.37,5
2020-07-17 23:00:00,27.075,7.5
2020-07-18 00:00:00,27.58333333,0.1
2020-07-18 00:00:00,27.468,0.2
2020-07-18 00:00:00,27.665,0.4
2020-07-18 00:00:00,27.665,0.6
2020-07-18 00:00:00,27.665,1
2020-07-18 00:00:00,27.665,3
2020-07-18 00:00:00,27.48466667,5
2020-07-18 00:00:00,27.075,7.5
2020-07-18 01:00:00,27.567,0.1
2020-07-18 01:00:00,27.468,0.2
2020-07-18 01:00:00,27.665,0.4
2020-07-18 01:00:00,27.665,0.6
2020-07-18 01:00:00,27.665,1
2020-07-18 01:00:00,27.665,3
2020-07-18 01:00:00,27.5505,5
2020-07-18 01:00:00,27.075,7.5
2020-07-18 02:00:00,27.567,0.1
2020-07-18 02:00:00,27.468,0.2
2020-07-18 02:00:00,27.665,0.4
2020-07-18 02:00:00,27.665,0.6
2020-07-18 02:00:00,27.665,1
2020-07-18 02:00:00,27.665,3
2020-07-18 02:00:00,27.501,5
2020-07-18 02:00:00,27.075,7.5
2020-07-18 03:00:00,27.567,0.1
2020-07-18 03:00:00,27.40266667,0.2
2020-07-18 03:00:00,27.59966667,0.4
2020-07-18 03:00:00,27.59966667,0.6
2020-07-18 03:00:00,27.58333333,1
2020-07-18 03:00:00,27.58333333,3
2020-07-18 03:00:00,27.468,5
2020-07-18 03:00:00,27.075,7.5
2020-07-18 04:00:00,27.616,0.1
2020-07-18 04:00:00,27.45166667,0.2
2020-07-18 04:00:00,27.64866667,0.4
2020-07-18 04:00:00,27.64866667,0.6
2020-07-18 04:00:00,27.63233333,1
2020-07-18 04:00:00,27.63233333,3
2020-07-18 04:00:00,27.468,5
2020-07-18 04:00:00,27.075,7.5
2020-07-18 05:00:00,27.59966667,0.1
2020-07-18 05:00:00,27.468,0.2
2020-07-18 05:00:00,27.665,0.4
2020-07-18 05:00:00,27.665,0.6
2020-07-18 05:00:00,27.665,1
2020-07-18 05:00:00,27.665,3
2020-07-18 05:00:00,27.4845,5
2020-07-18 05:00:00,27.075,7.5
2020-07-18 06:00:00,27.567,0.1
2020-07-18 06:00:00,27.468,0.2
2020-07-18 06:00:00,27.665,0.4
2020-07-18 06:00:00,27.665,0.6
2020-07-18 06:00:00,27.64866667,1
2020-07-18 06:00:00,27.63233333,3
2020-07-18 06:00:00,27.4845,5
2020-07-18 06:00:00,27.075,7.5
2020-07-18 07:00:00,27.68166667,0.1
2020-07-18 07:00:00,27.5175,0.2
